USER,DATE,TWEET
RepKerryB,Tue Sep 03 16:50:00 +0000 2013,Check out this article from the weekend that outlines my opposition to military intervention in #Syria. http://t.co/Fra4F0gQNz
RepGosar,Tue Sep 03 17:14:18 +0000 2013,The phones in my office are ringing off the hook and mail is flowing in. Almost all of the people are opposed to intervention in #Syria.
RepDianeBlack,Tue Sep 03 17:30:05 +0000 2013,Pleased that POTUS heeded our letter demanding Congressional authorization re: intervention in #Syria. http://t.co/QlBv1esDw7
RepBrianHiggins,Tue Sep 03 17:42:14 +0000 2013,I will oppose American military intervention in Syria. Read my full statement here: http://t.co/6Vu6bnoHIU
CongCulberson,Tue Sep 03 20:25:07 +0000 2013,I am opposed to American military involvement in Syria and will vote against intervention. http://t.co/6bC4Icbbou
DesJarlaisTN04,Tue Sep 03 20:38:35 +0000 2013,.@basevolgal @SenBobCorker @LamarAlexander I oppose intervention in Syria I have not seen a compelling reason to get involved
MicheleBachmann,Wed Sep 04 18:01:55 +0000 2013,My office has been inundated with constituent phone calls and emails about Syria. Virtually unanimous opposition to military intervention.
RepPaulBrounMD,Wed Sep 04 18:46:33 +0000 2013,Broun: Military Intervention in Syria Not Within Our National Interests http://t.co/keiQiURkrD
RepThomasMassie,Wed Sep 04 18:50:52 +0000 2013,My phones are blowing up and an overwhelming amount of constituents oppose US military intervention in #Syria
kyrstensinema,Wed Sep 04 18:57:24 +0000 2013,Congress will vote next week on the question of US military intervention in Syria &amp; we'd like to know your thoughts: http://t.co/78yGdCXrAK.
RepSeanDuffy,Wed Sep 04 21:19:56 +0000 2013,"It's not clear who we're fighting with or what we're fighting for...I do not plan to support the resolution to intervene." #Syria
SenSanders,Wed Sep 04 21:26:25 +0000 2013,VIDEO: Sen. Sanders talks with @WeGotEd about possible US intervention in #Syria: http://t.co/eXbpCBjwmt
RepWebster,Wed Sep 04 22:23:33 +0000 2013,I'll consider information delivered in upcoming classified briefings but at this point I strongly OPPOSE military intervention in #Syria.
jasoninthehouse,Thu Sep 05 02:16:40 +0000 2013,My experience: Hundreds Of Calls Emails Coming From People Opposed To Syria Intervention http://t.co/iYIT62bdwP via @HuffPostPol
JohnCornyn,Thu Sep 05 13:27:17 +0000 2013,When is POTUS going to make the case for military intervention in Syria to the American people?
RepChrisGibson,Thu Sep 05 14:50:18 +0000 2013,@Aladycitizen I will be voting no on the authorization to use military force in Syria.  Do not support military intervention.
ElijahECummings,Thu Sep 05 14:57:55 +0000 2013,RT @TellMeMoreNPR: Coming up LIVE at 11:06 @RepBarbaraLee and @ElijahECummings discuss their views on U.S. military intervention in #Syria.
repjustinamash,Thu Sep 05 14:58:30 +0000 2013,RT @SenLeePressSec: RELEASE: Lee Opposes Intervention in Syrian Civil War: http://t.co/vJPBsxxlwa #Syria #utpol
RepThomasMassie,Thu Sep 05 15:16:29 +0000 2013,Ninety nine percent of constituents who have contacted me oppose U.S. intervention in #Syria.  http://t.co/GnS2PIunxn
BruceBraley,Thu Sep 05 15:49:43 +0000 2013,Do you think the US should intervene in Syria? Take my poll &amp; let me know: http://t.co/ZIatwmjrWR
AlanGrayson,Thu Sep 05 16:58:03 +0000 2013,RT @HuffPostPol: WATCH: Alan Grayson explains why he opposes U.S. intervention in Syria http://t.co/0OgG0oLNN4
SenRandPaul,Thu Sep 05 16:58:40 +0000 2013,Must Read: Intervention in Syria Is a Very Bad Idea @NROcorner http://t.co/iQT9ITqvyr
RepDennisRoss,Thu Sep 05 17:15:10 +0000 2013,At this time I don't support US military intervention in #Syria. @MyFoxTampaBay http://t.co/pzIgZg2eUD
DesJarlaisTN04,Thu Sep 05 18:16:59 +0000 2013,.@DavidNelsonPT I am opposed to military intervention in Syria thanks for sharing your thoughts
RepKenMarchant,Thu Sep 05 22:55:35 +0000 2013,I will not vote for U.S. military intervention in Syria. Read my full statement here: http://t.co/qn1auBAeaW
repjustinamash,Fri Sep 06 01:41:14 +0000 2013,RT @RepKenMarchant: I will not vote for U.S. military intervention in Syria. Read my full statement here: http://t.co/qn1auBAeaW
AlanGrayson,Fri Sep 06 02:31:25 +0000 2013,"The ‘Strange Majority’ Against Syrian Intervention" http://t.co/KE60DcFV5Y
RepDennisRoss,Fri Sep 06 13:09:07 +0000 2013,My op-ed in @theledger : No Military Intervention in Syria http://t.co/R8d18H37rT
tomcoleok04,Fri Sep 06 13:30:49 +0000 2013,I am opposed to military intervention in #Syria. http://t.co/sEsJY0667B
JohnCornyn,Fri Sep 06 13:36:34 +0000 2013,Still waiting for POTUS to make the case to the American people for military intervention in Syria
SenSanders,Fri Sep 06 14:40:10 +0000 2013,Sen. Sanders talks with @AJam about the president's proposed intervention in #Syria: http://t.co/88q4hTsftL
ToddRokita,Fri Sep 06 15:35:47 +0000 2013,I remain skeptical of intervention in #Syria at this time as I do not see a clear and imminent threat to the USA - http://t.co/XLVQGMALD3
Randy_Forbes,Fri Sep 06 18:11:25 +0000 2013,Joining @loudobbsnews at 7pm tonight  to discuss the situation in #Syria &amp; why I oppose military intervention. Be sure to tune in.
repjustinamash,Fri Sep 06 23:19:30 +0000 2013,RT @MEPFuller: 2010 class of House lawmakers overwhelmingly oppose intervention in Syria. 3 yes 2 lean yes 43 lean no 22 no.
